day,date,daily_cases,cumulative_cases
1,2026-05-15,1,1
2,2026-05-16,0,1
3,2026-05-17,1,2
4,2026-05-18,0,2
5,2026-05-19,0,2
6,2026-05-20,0,2
7,2026-05-21,0,2
8,2026-05-22,0,2
9,2026-05-23,2,4
10,2026-05-24,0,4
11,2026-05-25,0,4
12,2026-05-26,0,4
13,2026-05-27,1,5
14,2026-05-28,0,5
15,2026-05-29,1,6
16,2026-05-30,0,6
17,2026-05-31,0,6
18,2026-06-01,0,6
19,2026-06-02,4,10
20,2026-06-03,0,10
21,2026-06-04,1,11
22,2026-06-05,3,14
23,2026-06-06,0,14
24,2026-06-07,0,14
25,2026-06-08,0,14
26,2026-06-09,0,14
27,2026-06-10,0,14
28,2026-06-11,0,14
29,2026-06-12,0,14
30,2026-06-13,0,14
31,2026-06-14,0,14
32,2026-06-15,0,14
33,2026-06-16,0,14
34,2026-06-17,0,14
35,2026-06-18,0,14
36,2026-06-19,0,14
37,2026-06-20,1,15
38,2026-06-21,0,15
39,2026-06-22,0,15
40,2026-06-23,0,15
41,2026-06-24,0,15
42,2026-06-25,0,15
43,2026-06-26,0,15
44,2026-06-27,0,15
45,2026-06-28,0,15
46,2026-06-29,0,15
